"preD"	"Dd3"	"Dd6"	"Dd30"	"NonD"
"xcr1(2of4)"	0.777626557466742	-1.49649595368269	0.818571920570645	0.440437689312332	-0.540140213667032
"cep112"	0.641297673054406	-1.15636223880545	-1.02552864894783	0.689238200015618	0.851355014683254
"idh2(2of2)"	0.798157541835812	-1.34653816417146	-0.525625996121126	-0.0532304219313848	1.12723704038816
"grb7"	-1.18861706567858	0.769830945697304	0.648876734277827	0.764453960771743	-0.994544575068289
"ttc30a1"	1.17477883381513	-1.15549801718203	-0.808370278126404	-0.00540865918167192	0.794498120674979
"ppp1r13b(1of2)"	-0.558413432261931	-0.0978299927746458	0.452511301049918	1.41584548809429	-1.21211336410763
"bcl9l(1of2)"	-1.30404852806224	-0.0543131869689966	0.806178219334847	1.14042122391341	-0.588237728217023
"hipk2(5of6)"	-0.0483505862759687	0.463103853354124	1.43751416638403	-0.951655675201037	-0.900611758261144
"bloc1s4"	-1.1206419641312	0.167858272866748	0.554211318323373	1.27850002878	-0.879927655838914
"bphl"	-0.933163314486942	0.54442413273267	0.794206177820231	0.826791488758704	-1.23225848482466
"fam184a(1of2)"	-1.24178083038655	0.972466445212875	0.676212032048562	0.493775610448847	-0.900673257323732
"zfp330"	0.841098112124635	-1.04062061285492	-0.70585126081833	-0.354030504507749	1.25940426605637
"gfra1(5of7)"	-0.0111498013124549	0.60969901497159	0.0311325352024669	-1.62421553546188	0.994533786600283
