kegg_id	pathway_name	gene_id
04360	Axon guidance	ephb3(2of2)
04360	Axon guidance	enah
04360	Axon guidance	pik3r1(1of2)
04360	Axon guidance	pik3r1(2of2)
04360	Axon guidance	rock2(1of4)
04360	Axon guidance	rock2(4of4)
04360	Axon guidance	epha3
04360	Axon guidance	sema5b(1of2)
04360	Axon guidance	sema5b(2of2)
04360	Axon guidance	wnt5a
04977	Vitamin digestion and absorption	slc46a1(1of2)
04977	Vitamin digestion and absorption	slc46a1(2of2)
04977	Vitamin digestion and absorption	cubn
04977	Vitamin digestion and absorption	apoa4(1of4)
04977	Vitamin digestion and absorption	apoa4(2of4)
04977	Vitamin digestion and absorption	apoa4(3of4)
04977	Vitamin digestion and absorption	apoa4(4of4)
04977	Vitamin digestion and absorption	gif
04977	Vitamin digestion and absorption	plb1(1of2)
04977	Vitamin digestion and absorption	plb1(2of2)
04977	Vitamin digestion and absorption	slc52a3(1of3)
04977	Vitamin digestion and absorption	slc52a3(2of3)
04977	Vitamin digestion and absorption	slc52a3(3of3)
04977	Vitamin digestion and absorption	slc5a6(1of2)
04977	Vitamin digestion and absorption	slc5a6(2of2)
04977	Vitamin digestion and absorption	tcn2
04977	Vitamin digestion and absorption	apob(1of3)
04977	Vitamin digestion and absorption	apob(2of3)
04977	Vitamin digestion and absorption	apob(3of3)
04977	Vitamin digestion and absorption	mmachc
04977	Vitamin digestion and absorption	slc23a1(1of2)
04977	Vitamin digestion and absorption	slc23a1(2of2)
04977	Vitamin digestion and absorption	rbp2(1of2)
04977	Vitamin digestion and absorption	rbp2(2of2)
04977	Vitamin digestion and absorption	abcc1(1of3)
04977	Vitamin digestion and absorption	abcc1(2of3)
04977	Vitamin digestion and absorption	abcc1(3of3)
04977	Vitamin digestion and absorption	apoa1
04977	Vitamin digestion and absorption	slc19a3(1of2)
04977	Vitamin digestion and absorption	slc19a3(2of2)
04977	Vitamin digestion and absorption	slc19a2
04977	Vitamin digestion and absorption	slc19a1
04977	Vitamin digestion and absorption	lmbrd1
04977	Vitamin digestion and absorption	btd
04977	Vitamin digestion and absorption	scarb1
04977	Vitamin digestion and absorption	lrat(1of2)
04977	Vitamin digestion and absorption	lrat(2of2)
03010	Ribosome	rpl7a
03010	Ribosome	rps17(1of2)
03010	Ribosome	rps17(2of2)
03010	Ribosome	mrpl28
03010	Ribosome	rpl35a
03010	Ribosome	mrps15
03010	Ribosome	rps14
03010	Ribosome	mrpl20
03010	Ribosome	rsl24d1
03010	Ribosome	rplp0
03010	Ribosome	rps28
03010	Ribosome	mrps6
03010	Ribosome	rpl28
03010	Ribosome	mrpl27
03010	Ribosome	mrpl32
03010	Ribosome	rpl5(1of2)
03010	Ribosome	rpl5(2of2)
03010	Ribosome	rps15a
03010	Ribosome	rps24
03010	Ribosome	rps7
03010	Ribosome	mrpl4
03010	Ribosome	rpl13a
03010	Ribosome	rps18
03010	Ribosome	rpl39
03010	Ribosome	rpl7
03010	Ribosome	rpl4
03010	Ribosome	mrpl15
03010	Ribosome	rpl9
03010	Ribosome	mrps16
03010	Ribosome	rpl23a
03010	Ribosome	rpl3
03010	Ribosome	rpl19(1of2)
03010	Ribosome	rpl19(2of2)
03010	Ribosome	mrpl36
03010	Ribosome	rpl32
03010	Ribosome	rpsa
03010	Ribosome	rpl22(1of2)
03010	Ribosome	rpl22(2of2)
03010	Ribosome	mrps10
03010	Ribosome	rpl27a
03010	Ribosome	rplp2(1of2)
03010	Ribosome	rplp2(2of2)
03010	Ribosome	rps27(1of3)
03010	Ribosome	rps27(2of3)
03010	Ribosome	rps27(3of3)
03010	Ribosome	rpl36
03010	Ribosome	rps9
03010	Ribosome	rpl18
