kegg_id	gene_id
04610	f2r(2of2)
04610	serpinc1
04610	cd55
04610	cfh(3of5)
04610	f9
04610	f10(3of3)
04610	svep1(3of3)
04610	cpb2
04610	c4bpa(1of2)
04610	c4bpa(2of2)
04610	plat
04610	c9
04610	serpine1
04610	thbd(1of2)
04610	thbd(2of2)
00531	hpse2
00531	hpse
00531	hyal2(1of5)
00531	hyal2(3of5)
00531	hyal2(4of5)
00531	sgsh
00531	hyal6
00531	hyal4
00531	naglu
00531	arsb
00531	galns
00531	gusb
00531	idua
00531	hexb(1of2)
00531	hexb(2of2)
00531	ids
00531	hyal2(5of5)
00531	hyal2(2of5)
00531	glb1(1of2)
00531	glb1(2of2)
00531	hyal5
00531	gns(1of2)
00531	gns(2of2)
00531	hgsnat(1of2)
00531	hgsnat(2of2)
00983	uck2
00983	ugt1a1(1of2)
00983	ugt1a1(2of2)
00983	tymp
00983	xdh
00983	gusb
00983	upp2
00983	nat2(1of2)
00983	nat2(2of2)
00983	ugt2b4
00983	ugt2a3
00983	dpys
00983	tk1
00983	uck1
00983	impdh2(2of2)
00983	impdh1
00983	ugt2a1
00983	ugt2a2(1of7)
00983	ugt2a2(2of7)
00983	ugt2a2(3of7)
00983	ugt2a2(4of7)
00983	ugt2a2(5of7)
00983	ugt2a2(6of7)
00983	ugt2a2(7of7)
00983	upp1
00983	hprt1(1of2)
00983	hprt1(2of2)
00983	umps
00983	itpa
00983	cda(1of2)
00983	cda(2of2)
00983	ces2(1of2)
00983	ces2(2of2)
00983	impdh2(1of2)
00983	upb1
00983	ces1
00983	tpmt
00983	cyp3a4(1of2)
00983	cyp3a4(2of2)
00983	gmps
00983	ugt1a3
00983	dpyd
00983	uckl1(1of3)
00983	uckl1(2of3)
00983	uckl1(3of3)
04510	rap1a
04510	pgf(1of2)
04510	mapk1
04510	mylpf(1of4)
04510	mylpf(2of4)
04510	mylpf(3of4)
04510	mylpf(4of4)
04510	vav3(1of2)
04510	vav3(2of2)
04510	tnxb(1of2)
04510	tnxb(2of2)
04510	ccnd1
04510	raf1
04510	pdgfc
