id,b_D3d,b_D6d,b_D1m,b_NonD,GO
scp2(1of2),NonDE,NonDE,NonDE,NonDE,.
scp2(2of2),NonDE,NonDE,NonDE,NonDE,.
scpep1,DN,DN,DN,NonDE,.
scrib,NonDE,NonDE,NonDE,NonDE,.
scrn2,DN,NonDE,DN,NonDE,.
scrn3,UP,UP,UP,NonDE,.
scrt2(1of3),NonDE,NonDE,NonDE,NonDE,.
scrt2(2of3),UP,UP,DN,UP,.
scube1(1of3),NonDE,NonDE,DN,NonDE,.
scube1(2of3),UP,NonDE,NonDE,NonDE,.
scube1(3of3),NonDE,NonDE,NonDE,NonDE,.
scube3(1of2),NonDE,DN,NonDE,NonDE,.
scube3(2of2),NonDE,NonDE,DN,NonDE,.
scx,NonDE,DN,DN,NonDE,.
scyl1,NonDE,NonDE,NonDE,NonDE,.
scyl2,NonDE,NonDE,NonDE,NonDE,.
scyl3,NonDE,NonDE,NonDE,NonDE,.
sdad1,NonDE,UP,UP,NonDE,.
sdc2,UP,UP,UP,NonDE,.
sdc3,NonDE,NonDE,NonDE,NonDE,.
sdc4(1of2),NonDE,NonDE,NonDE,NonDE,.
sdc4(2of2),NonDE,NonDE,NonDE,NonDE,.
sdcbp,NonDE,NonDE,DN,NonDE,.
sdccag3,DN,NonDE,UP,NonDE,.
sdccag8(1of2),NonDE,NonDE,NonDE,NonDE,.
sdccag8(2of2),NonDE,NonDE,NonDE,NonDE,.
sde2,NonDE,NonDE,NonDE,NonDE,.
sdf2(1of2),NonDE,NonDE,UP,NonDE,.
sdf2(2of2),DN,DN,DN,NonDE,.
sdf4,NonDE,NonDE,NonDE,NonDE,.
sdha,NonDE,UP,NonDE,NonDE,.
sdhaf1,NonDE,NonDE,NonDE,NonDE,.
sdhaf2,NonDE,NonDE,NonDE,NonDE,.
sdhaf3,NonDE,NonDE,NonDE,NonDE,.
sdhaf4,NonDE,NonDE,NonDE,NonDE,.
sdhb,NonDE,NonDE,UP,NonDE,.
sdhc,NonDE,NonDE,NonDE,NonDE,.
sdhd,NonDE,NonDE,NonDE,NonDE,.
sdk1,NonDE,NonDE,NonDE,NonDE,.
sdk2(1of2),NonDE,NonDE,DN,NonDE,.
sdk2(2of2),DN,DN,DN,NonDE,.
sdpr(1of2),NonDE,NonDE,NonDE,NonDE,.
sdpr(2of2),UP,UP,UP,UP,.
sdr16c5,UP,UP,UP,NonDE,.
sdr39u1,NonDE,UP,NonDE,NonDE,.
sdr42e1,DN,DN,DN,NonDE,.
sds,NonDE,NonDE,NonDE,NonDE,.
sec11a,DN,DN,DN,NonDE,.
sec13,DN,DN,NonDE,NonDE,.
sec14l1(1of2),NonDE,NonDE,NonDE,NonDE,.
sec14l1(2of2),NonDE,NonDE,NonDE,NonDE,.
sec14l2(1of2),NonDE,NonDE,NonDE,NonDE,.
sec16a,NonDE,NonDE,NonDE,NonDE,.
sec22a,NonDE,NonDE,NonDE,NonDE,.
sec22b,NonDE,NonDE,NonDE,NonDE,.
sec22c,NonDE,NonDE,NonDE,NonDE,.
sec23a(1of2),NonDE,NonDE,NonDE,NonDE,.
sec23a(2of2),NonDE,NonDE,NonDE,NonDE,.
sec23b,DN,DN,DN,NonDE,.
sec23ip,DN,DN,DN,NonDE,.
sec24a,DN,NonDE,NonDE,NonDE,.
sec24b,NonDE,NonDE,UP,NonDE,.
sec24c(1of2),DN,DN,NonDE,NonDE,.
sec24c(2of2),NonDE,NonDE,NonDE,NonDE,.
sec24d,DN,DN,DN,NonDE,.
sec31a(1of2),DN,DN,DN,NonDE,.
sec31a(2of2),NonDE,NonDE,NonDE,NonDE,.
sec61a1(1of2),DN,DN,DN,NonDE,.
sec61a1(2of2),NonDE,NonDE,NonDE,NonDE,.
sec61b,NonDE,NonDE,DN,NonDE,.
sec61g,NonDE,NonDE,NonDE,NonDE,.
sec62,NonDE,NonDE,NonDE,NonDE,.
sec63,NonDE,NonDE,NonDE,NonDE,.
secisbp2,NonDE,NonDE,NonDE,NonDE,.
secisbp2l,NonDE,NonDE,NonDE,NonDE,.
seh1l,NonDE,UP,NonDE,NonDE,.
sel1l(2of2),NonDE,NonDE,NonDE,NonDE,.
sel1l3(1of2),NonDE,NonDE,NonDE,NonDE,.
sel1l3(2of2),UP,UP,UP,UP,.
selenbp1,NonDE,NonDE,NonDE,NonDE,.
selk,UP,UP,UP,NonDE,.
selm(2of2),DN,DN,DN,UP,.
selo,UP,UP,UP,NonDE,.
selt(1of2),NonDE,NonDE,NonDE,NonDE,.
selt(2of2),DN,DN,DN,NonDE,.
sema3a(1of4),NonDE,NonDE,DN,DN,.
sema3a(2of4),DN,DN,DN,NonDE,.
sema3a(3of4),NonDE,DN,DN,NonDE,.
sema3a(4of4),NonDE,NonDE,NonDE,NonDE,.
sema3c,UP,NonDE,NonDE,NonDE,.
sema3d,NonDE,NonDE,NonDE,NonDE,.
sema3e,NonDE,NonDE,DN,NonDE,.
sema3f(1of3),NonDE,DN,DN,NonDE,.
sema3f(2of3),NonDE,NonDE,NonDE,NonDE,.
sema3f(3of3),NonDE,NonDE,NonDE,NonDE,.
sema3g,NonDE,NonDE,DN,NonDE,.
sema4a,NonDE,NonDE,NonDE,NonDE,.
sema4b(2of2),NonDE,NonDE,NonDE,NonDE,.
sema4c,NonDE,NonDE,NonDE,NonDE,.
sema4d(1of3),NonDE,NonDE,DN,NonDE,.
sema4d(2of3),NonDE,NonDE,NonDE,NonDE,.
sema4d(3of3),UP,UP,UP,NonDE,.
sema4f,NonDE,NonDE,DN,NonDE,.
sema5a,NonDE,DN,DN,NonDE,.
sema5b(1of2),NonDE,NonDE,NonDE,NonDE,.
sema5b(2of2),NonDE,NonDE,NonDE,NonDE,.
sema6a,NonDE,NonDE,DN,NonDE,.
sema6b(1of2),NonDE,NonDE,NonDE,NonDE,.
sema6b(2of2),NonDE,NonDE,NonDE,NonDE,.
sema6d(1of3),NonDE,NonDE,NonDE,NonDE,.
sema6d(2of3),NonDE,NonDE,NonDE,NonDE,.
sema6d(3of3),DN,DN,DN,NonDE,.
sema7a(2of3),NonDE,DN,NonDE,NonDE,.
senp1(1of3),NonDE,NonDE,NonDE,NonDE,.
senp1(3of3),DN,DN,NonDE,NonDE,.
senp2,UP,UP,UP,NonDE,.
senp5(1of2),NonDE,NonDE,NonDE,NonDE,.
senp5(2of2),NonDE,NonDE,NonDE,NonDE,.
senp6,NonDE,NonDE,NonDE,NonDE,.
senp7(1of2),NonDE,NonDE,NonDE,NonDE,.
senp7(2of2),NonDE,NonDE,NonDE,NonDE,.
senp8,NonDE,NonDE,NonDE,NonDE,.
sephs1,DN,DN,DN,NonDE,.
sephs2,NonDE,NonDE,NonDE,NonDE,.
sepn1,NonDE,NonDE,NonDE,NonDE,.
sepp1(1of2),NonDE,NonDE,NonDE,NonDE,.
sepp1(2of2),UP,UP,UP,NonDE,.
sepsecs,NonDE,DN,NonDE,NonDE,.
sept10,NonDE,NonDE,NonDE,NonDE,.
sept15,NonDE,NonDE,DN,NonDE,.
sept2(1of2),NonDE,NonDE,NonDE,NonDE,.
sept2(2of2),DN,DN,DN,NonDE,.
sept3,NonDE,NonDE,NonDE,NonDE,.
sept4(1of2),DN,DN,DN,DN,.
sept4(2of2),NonDE,NonDE,NonDE,NonDE,.
sept5(1of2),NonDE,NonDE,NonDE,NonDE,.
sept5(2of2),NonDE,NonDE,NonDE,NonDE,.
sept6,DN,DN,NonDE,NonDE,.
sept7(1of3),DN,DN,DN,NonDE,.
sept7(2of3),NonDE,NonDE,DN,NonDE,.
sept7(3of3),NonDE,NonDE,NonDE,NonDE,.
sept8(1of2),UP,UP,UP,NonDE,.
sept8(2of2),NonDE,NonDE,NonDE,NonDE,.
sept9(1of3),NonDE,NonDE,NonDE,NonDE,.
sept9(2of3),NonDE,NonDE,NonDE,NonDE,.
sept9(3of3),NonDE,NonDE,NonDE,NonDE,.
serac1,NonDE,NonDE,NonDE,NonDE,.
serbp1(1of2),NonDE,NonDE,NonDE,NonDE,.
serbp1(2of2),NonDE,NonDE,NonDE,NonDE,.
serf1,NonDE,NonDE,UP,NonDE,.
sergef,UP,UP,UP,NonDE,.
serhl2,DN,DN,NonDE,NonDE,.
serinc1(1of4),UP,UP,UP,NonDE,.
serinc1(3of4),NonDE,NonDE,NonDE,NonDE,.
serinc1(4of4),NonDE,NonDE,NonDE,NonDE,.
serinc4,DN,DN,DN,NonDE,.
serinc5,NonDE,NonDE,NonDE,NonDE,.
serp1,NonDE,NonDE,UP,NonDE,.
serp2(1of2),UP,UP,UP,NonDE,.
serp2(2of2),NonDE,NonDE,NonDE,NonDE,.
serpina1(2of2),NonDE,NonDE,NonDE,NonDE,.
serpina10(1of2),UP,UP,UP,NonDE,.
serpinb1a(1of3),NonDE,NonDE,NonDE,NonDE,.
serpinb1a(2of3),NonDE,NonDE,NonDE,NonDE,.
serpinb1a(3of3),NonDE,NonDE,NonDE,NonDE,.
serpinb6,NonDE,NonDE,NonDE,NonDE,.
serpine1,UP,UP,NonDE,NonDE,.
serpine2,NonDE,UP,NonDE,NonDE,.
serpinf1,NonDE,NonDE,NonDE,UP,.
serpinh1,NonDE,NonDE,NonDE,NonDE,.
serpini1,NonDE,UP,NonDE,DN,.
sertad2,NonDE,NonDE,NonDE,NonDE,.
sertad3,NonDE,NonDE,NonDE,NonDE,.
sertad4,NonDE,NonDE,NonDE,NonDE,.
sertm1,NonDE,NonDE,DN,NonDE,.
sesn1(1of2),UP,NonDE,NonDE,NonDE,.
sesn1(2of2),UP,UP,UP,NonDE,.
sesn3,UP,UP,UP,NonDE,.
sestd1,NonDE,NonDE,NonDE,NonDE,.
set(1of2),DN,DN,DN,NonDE,.
set(2of2),UP,UP,UP,NonDE,.
setbp1,NonDE,NonDE,NonDE,NonDE,.
setd1a,NonDE,NonDE,UP,NonDE,.
setd1b(3of3),NonDE,NonDE,NonDE,NonDE,.
setd2,NonDE,NonDE,NonDE,NonDE,.
setd3,NonDE,NonDE,NonDE,NonDE,.
setd4,NonDE,NonDE,NonDE,NonDE,.
setd5,NonDE,NonDE,NonDE,NonDE,.
setd6,DN,DN,DN,NonDE,.
setd7,NonDE,UP,UP,NonDE,.
setd8(1of2),NonDE,NonDE,NonDE,NonDE,.
setd8(2of2),DN,DN,DN,NonDE,.
setd9,DN,NonDE,NonDE,NonDE,.
setdb1(1of4),DN,DN,NonDE,NonDE,.
setdb1(2of4),NonDE,NonDE,NonDE,NonDE,.
setdb1(3of4),NonDE,NonDE,NonDE,NonDE,.
setdb1(4of4),NonDE,NonDE,NonDE,NonDE,.
setdb2,NonDE,NonDE,NonDE,NonDE,.
setmar,UP,UP,UP,NonDE,.
sez6(1of4),NonDE,UP,NonDE,NonDE,.
sez6(3of4),UP,UP,UP,NonDE,.
sez6(4of4),NonDE,NonDE,NonDE,NonDE,.
sez6l,NonDE,NonDE,DN,NonDE,.
sf1,DN,DN,NonDE,NonDE,.
sf3a1,NonDE,NonDE,NonDE,NonDE,.
sf3a2(1of2),DN,DN,NonDE,NonDE,.
sf3a2(2of2),UP,UP,UP,NonDE,.
sf3a3,NonDE,NonDE,NonDE,NonDE,.
sf3b1,NonDE,NonDE,NonDE,NonDE,.
sf3b2,NonDE,NonDE,NonDE,NonDE,.
sf3b3,NonDE,NonDE,NonDE,NonDE,.
sf3b4,NonDE,NonDE,NonDE,NonDE,.
sf3b5,DN,DN,DN,NonDE,.
sf3b6,NonDE,NonDE,NonDE,NonDE,.
sfi1,DN,DN,NonDE,NonDE,.
sfmbt1,NonDE,NonDE,NonDE,NonDE,.
sfmbt2,UP,UP,UP,NonDE,.
sfpq,DN,DN,NonDE,NonDE,.
sfr1,DN,NonDE,NonDE,NonDE,.
sfrp2(1of2),NonDE,NonDE,NonDE,NonDE,.
sfrp2(2of2),NonDE,NonDE,DN,NonDE,.
sfrp5(2of3),NonDE,DN,DN,NonDE,.
sfswap,NonDE,NonDE,NonDE,NonDE,.
sft2d1(1of2),NonDE,NonDE,NonDE,NonDE,.
sft2d1(2of2),NonDE,NonDE,NonDE,NonDE,.
sft2d2,NonDE,NonDE,NonDE,NonDE,.
sft2d3,NonDE,NonDE,NonDE,NonDE,.
sfxn1(1of2),DN,DN,NonDE,NonDE,.
sfxn1(2of2),DN,DN,DN,NonDE,.
sfxn2,DN,DN,DN,NonDE,.
sfxn4,NonDE,NonDE,NonDE,NonDE,.
sfxn5,NonDE,NonDE,NonDE,NonDE,.
sgcb,UP,UP,UP,NonDE,.
sgcd,UP,NonDE,NonDE,NonDE,.
sgce(1of2),UP,UP,UP,NonDE,.
sgce(2of2),UP,UP,UP,NonDE,.
sgcg,NonDE,NonDE,NonDE,NonDE,.
sgcz(2of2),NonDE,NonDE,NonDE,NonDE,.
sgf29,NonDE,NonDE,NonDE,NonDE,.
sgip1,NonDE,NonDE,NonDE,DN,.
sgk1(1of3),NonDE,UP,UP,NonDE,.
sgk1(2of3),NonDE,NonDE,DN,NonDE,.
sgk1(3of3),NonDE,DN,DN,NonDE,.
sgk2,NonDE,NonDE,NonDE,NonDE,.
sgk223,NonDE,NonDE,NonDE,NonDE,.
sgk3,NonDE,NonDE,NonDE,NonDE,.
sgk494,NonDE,NonDE,NonDE,NonDE,.
sgms1,NonDE,NonDE,NonDE,NonDE,.
sgms2(1of2),UP,NonDE,UP,NonDE,.
sgms2(2of2),UP,UP,UP,NonDE,.
sgol1,DN,DN,DN,NonDE,.
sgpl1,UP,UP,UP,NonDE,.
sgpp1(1of2),DN,DN,NonDE,NonDE,.
sgpp1(2of2),NonDE,NonDE,NonDE,NonDE,.
sgpp2,UP,NonDE,NonDE,NonDE,.
sgsh,NonDE,NonDE,NonDE,NonDE,.
sgsm1(1of2),UP,UP,UP,NonDE,.
sgsm1(2of2),UP,UP,UP,NonDE,.
sgsm3,UP,UP,UP,NonDE,.
sgta,NonDE,NonDE,NonDE,NonDE,.
sgtb,UP,UP,UP,NonDE,.
sh2b1,NonDE,NonDE,NonDE,NonDE,.
sh2b2,NonDE,NonDE,NonDE,NonDE,.
sh2b3,NonDE,NonDE,NonDE,NonDE,.
sh2d1a(1of2),NonDE,NonDE,NonDE,NonDE,.
sh2d3c(2of2),NonDE,NonDE,NonDE,NonDE,.
sh2d4a,NonDE,NonDE,NonDE,NonDE,.
sh2d4b,NonDE,DN,DN,NonDE,.
sh2d5,UP,UP,UP,NonDE,.
sh3bgr,NonDE,NonDE,NonDE,NonDE,.
sh3bgrl,DN,DN,DN,NonDE,.
sh3bgrl3(1of2),NonDE,NonDE,NonDE,NonDE,.
sh3bgrl3(2of2),NonDE,DN,DN,UP,.
sh3bp4(1of2),NonDE,NonDE,NonDE,NonDE,.
sh3bp4(2of2),NonDE,NonDE,NonDE,NonDE,.
sh3bp5(1of2),UP,UP,UP,NonDE,.
sh3bp5(2of2),DN,DN,DN,NonDE,.
sh3bp5l,DN,NonDE,NonDE,NonDE,.
sh3d19(1of2),NonDE,NonDE,NonDE,NonDE,.
sh3d19(2of2),UP,UP,UP,UP,.
sh3d21,NonDE,NonDE,NonDE,UP,.
sh3gl1(1of2),NonDE,NonDE,NonDE,NonDE,.
sh3gl1(2of2),NonDE,NonDE,NonDE,NonDE,.
sh3gl2(2of2),NonDE,NonDE,NonDE,NonDE,.
sh3glb1(1of2),UP,UP,UP,NonDE,.
sh3glb1(2of2),NonDE,NonDE,NonDE,NonDE,.
sh3glb2(1of2),NonDE,NonDE,NonDE,NonDE,.
sh3glb2(2of2),NonDE,NonDE,NonDE,NonDE,.
sh3kbp1(1of2),UP,UP,UP,NonDE,.
sh3kbp1(2of2),NonDE,NonDE,NonDE,NonDE,.
sh3pxd2a(1of2),NonDE,DN,NonDE,NonDE,.
sh3pxd2a(2of2),NonDE,DN,DN,NonDE,.
sh3pxd2b,NonDE,DN,DN,NonDE,.
sh3rf1,NonDE,NonDE,NonDE,NonDE,.
sh3rf2,UP,UP,UP,NonDE,.
sh3rf3,NonDE,NonDE,NonDE,NonDE,.
sh3tc2(2of2),NonDE,NonDE,NonDE,NonDE,.
sh3yl1,NonDE,NonDE,NonDE,UP,.
sharpin,NonDE,NonDE,NonDE,NonDE,.
shbg,UP,NonDE,UP,NonDE,.
shc1(1of2),NonDE,NonDE,NonDE,NonDE,.
shc2,NonDE,NonDE,NonDE,NonDE,.
shcbp1,DN,DN,DN,NonDE,.
shd(1of2),NonDE,NonDE,UP,NonDE,.
shd(2of2),NonDE,UP,NonDE,NonDE,.
she(2of2),NonDE,NonDE,NonDE,NonDE,.
shf,UP,UP,UP,NonDE,.
shfm1,DN,DN,DN,UP,.
shh(1of2),NonDE,NonDE,DN,NonDE,.
shisa2,NonDE,NonDE,NonDE,NonDE,.
shisa3,NonDE,NonDE,DN,NonDE,.
shisa4(1of2),NonDE,NonDE,UP,NonDE,.
shisa4(2of2),NonDE,NonDE,NonDE,NonDE,.
shisa9(2of4),NonDE,NonDE,NonDE,NonDE,.
shisa9(3of4),NonDE,NonDE,NonDE,NonDE,.
shkbp1,NonDE,NonDE,NonDE,NonDE,.
shmt1,DN,DN,DN,NonDE,.
shmt2,DN,DN,DN,NonDE,.
shoc2,NonDE,NonDE,NonDE,NonDE,.
shpk,NonDE,NonDE,NonDE,NonDE,.
shprh,NonDE,NonDE,NonDE,NonDE,.
shq1,NonDE,UP,UP,NonDE,.
shroom2(1of2),NonDE,NonDE,NonDE,NonDE,.
shroom2(2of2),NonDE,NonDE,NonDE,NonDE,.
shroom3(1of2),NonDE,NonDE,DN,NonDE,.
shroom3(2of2),NonDE,NonDE,NonDE,NonDE,.
shroom4,NonDE,NonDE,NonDE,NonDE,.
shtn1(1of3),NonDE,NonDE,UP,NonDE,.
shtn1(2of3),NonDE,NonDE,NonDE,UP,.
shtn1(3of3),NonDE,NonDE,NonDE,NonDE,.
siah1,NonDE,NonDE,NonDE,NonDE,.
siah2,NonDE,NonDE,NonDE,NonDE,.
sidt2,NonDE,NonDE,NonDE,NonDE,.
sigirr,DN,NonDE,NonDE,NonDE,.
sigmar1,DN,DN,DN,NonDE,.
sik1,NonDE,DN,DN,NonDE,.
sik2,NonDE,NonDE,DN,NonDE,.
sik3,NonDE,NonDE,NonDE,NonDE,.
sike1,NonDE,NonDE,NonDE,NonDE,.
sil1,NonDE,UP,UP,NonDE,.
sim1(1of2),DN,DN,DN,NonDE,.
simc1(2of2),NonDE,NonDE,NonDE,NonDE,.
sin3a(1of2),NonDE,NonDE,NonDE,NonDE,.
sin3a(2of2),NonDE,NonDE,NonDE,NonDE,.
sin3b,NonDE,NonDE,NonDE,NonDE,.
sipa1l1(1of3),NonDE,NonDE,NonDE,NonDE,.
sipa1l1(2of3),NonDE,NonDE,NonDE,NonDE,.
sipa1l1(3of3),NonDE,NonDE,NonDE,NonDE,.
sipa1l2,NonDE,NonDE,NonDE,NonDE,.
sipa1l3,NonDE,NonDE,NonDE,NonDE,.
sirt1,DN,DN,DN,NonDE,.
sirt2,NonDE,NonDE,NonDE,NonDE,.
sirt3(1of2),UP,NonDE,NonDE,NonDE,.
sirt3(2of2),DN,DN,NonDE,NonDE,.
sirt4,NonDE,NonDE,NonDE,NonDE,.
sirt5(1of2),NonDE,NonDE,NonDE,NonDE,.
sirt5(2of2),NonDE,NonDE,NonDE,NonDE,.
sirt6,NonDE,NonDE,NonDE,NonDE,.
sirt7,NonDE,NonDE,NonDE,NonDE,.
siva1,NonDE,NonDE,NonDE,NonDE,.
six1(1of2),NonDE,NonDE,NonDE,NonDE,.
six2,NonDE,NonDE,DN,NonDE,.
six3(1of3),NonDE,NonDE,DN,DN,.
six3(2of3),NonDE,NonDE,NonDE,NonDE,.
six4(1of2),NonDE,NonDE,NonDE,NonDE,.
six4(2of2),NonDE,NonDE,NonDE,NonDE,.
six6,NonDE,NonDE,NonDE,UP,.
ska1,DN,DN,NonDE,NonDE,.
ska2,DN,DN,DN,NonDE,.
ska3,DN,DN,DN,NonDE,.
skap2,DN,DN,DN,NonDE,.
ski(1of2),NonDE,NonDE,NonDE,NonDE,.
ski(2of2),NonDE,NonDE,NonDE,NonDE,.
skida1,NonDE,NonDE,NonDE,NonDE,.
skil,NonDE,NonDE,NonDE,NonDE,.
skiv2l,NonDE,NonDE,NonDE,NonDE,.
skiv2l2,NonDE,NonDE,NonDE,NonDE,.
skp1,NonDE,NonDE,NonDE,NonDE,.
skp2,DN,DN,NonDE,NonDE,.
sla2,NonDE,NonDE,NonDE,NonDE,.
slain2(1of3),NonDE,NonDE,DN,NonDE,.
slain2(2of3),NonDE,DN,NonDE,NonDE,.
slbp(1of2),DN,DN,DN,NonDE,.
slc10a2,UP,UP,UP,NonDE,.
slc10a3,DN,NonDE,DN,NonDE,.
slc10a4,UP,UP,UP,UP,.
slc10a7,NonDE,NonDE,NonDE,NonDE,.
slc11a2,NonDE,NonDE,NonDE,NonDE,.
slc12a2(2of2),NonDE,NonDE,NonDE,NonDE,.
slc12a3(2of6),NonDE,NonDE,NonDE,NonDE,.
slc12a4,NonDE,NonDE,NonDE,NonDE,.
slc12a5(2of3),NonDE,NonDE,NonDE,DN,.
slc12a5(3of3),NonDE,NonDE,NonDE,DN,.
slc12a6,NonDE,NonDE,NonDE,NonDE,.
slc12a7,NonDE,NonDE,NonDE,NonDE,.
slc12a8,NonDE,NonDE,DN,UP,.
slc12a9(2of3),NonDE,NonDE,NonDE,NonDE,.
slc12a9(3of3),DN,DN,DN,NonDE,.
slc13a1,DN,DN,NonDE,NonDE,.
slc13a2(1of2),NonDE,NonDE,NonDE,NonDE,.
slc14a2(3of3),UP,UP,UP,NonDE,.
slc15a2,UP,UP,NonDE,NonDE,.
slc15a4,NonDE,NonDE,NonDE,NonDE,.
slc16a1(2of2),DN,DN,DN,NonDE,.
slc16a10,NonDE,NonDE,DN,NonDE,.
slc16a2,DN,NonDE,DN,NonDE,.
slc16a5,UP,UP,UP,NonDE,.
slc16a6(4of4),DN,NonDE,NonDE,NonDE,.
slc16a7(1of2),NonDE,DN,DN,NonDE,.
slc16a7(2of2),NonDE,NonDE,NonDE,NonDE,.
slc16a9,NonDE,NonDE,NonDE,NonDE,.
slc17a5(1of2),NonDE,DN,DN,NonDE,.
slc17a5(2of2),DN,DN,DN,NonDE,.
slc17a6(1of2),UP,NonDE,NonDE,UP,.
slc17a7(1of2),NonDE,NonDE,NonDE,NonDE,.
slc17a9(1of2),DN,DN,DN,NonDE,.
slc17a9(2of2),NonDE,NonDE,NonDE,NonDE,.
slc18a3(2of2),UP,UP,UP,UP,.
slc19a1,NonDE,NonDE,NonDE,NonDE,.
slc19a2,NonDE,NonDE,DN,NonDE,.
slc19a3(2of2),NonDE,NonDE,NonDE,NonDE,.
slc1a1(3of5),NonDE,NonDE,NonDE,NonDE,.
slc1a2(3of3),NonDE,NonDE,DN,NonDE,.
slc1a3(1of3),NonDE,NonDE,DN,NonDE,.
slc1a3(3of3),NonDE,NonDE,NonDE,NonDE,.
slc1a4,NonDE,NonDE,NonDE,NonDE,.
slc1a5,DN,DN,DN,NonDE,.
slc1a7(2of5),NonDE,NonDE,NonDE,NonDE,.
slc1a7(3of5),NonDE,NonDE,NonDE,NonDE,.
slc20a1(1of2),DN,NonDE,NonDE,NonDE,.
slc20a2,UP,UP,UP,NonDE,.
slc22a13(4of6),NonDE,NonDE,NonDE,NonDE,.
slc22a13(5of6),NonDE,NonDE,NonDE,NonDE,.
slc22a13(6of6),UP,UP,UP,NonDE,.
slc22a15(1of2),NonDE,NonDE,NonDE,NonDE,.
slc22a15(2of2),NonDE,UP,UP,NonDE,.
slc22a16(1of2),NonDE,NonDE,NonDE,NonDE,.
slc22a17,DN,NonDE,NonDE,NonDE,.
slc22a18,NonDE,NonDE,DN,NonDE,.
slc22a23(1of3),NonDE,DN,NonDE,NonDE,.
slc22a23(2of3),NonDE,NonDE,NonDE,NonDE,.
slc22a23(3of3),NonDE,NonDE,NonDE,NonDE,.
slc22a3,NonDE,NonDE,NonDE,NonDE,.
slc22a5(3of3),NonDE,NonDE,NonDE,NonDE,.
slc22a6(2of2),NonDE,NonDE,NonDE,UP,.
slc23a2(3of3),NonDE,NonDE,NonDE,NonDE,.
slc24a3(2of5),NonDE,NonDE,NonDE,NonDE,.
slc24a3(3of5),DN,NonDE,UP,NonDE,.
slc24a5,UP,NonDE,NonDE,UP,.
slc25a1(1of3),NonDE,NonDE,NonDE,NonDE,.
slc25a1(2of3),NonDE,NonDE,NonDE,NonDE,.
slc25a1(3of3),UP,UP,UP,NonDE,.
slc25a10,DN,DN,DN,NonDE,.
slc25a11,NonDE,NonDE,NonDE,NonDE,.
slc25a12(1of2),DN,NonDE,NonDE,NonDE,.
slc25a12(2of2),NonDE,NonDE,NonDE,NonDE,.
slc25a14,DN,DN,DN,NonDE,.
slc25a15(1of2),NonDE,NonDE,NonDE,NonDE,.
slc25a15(2of2),DN,DN,DN,NonDE,.
slc25a16,NonDE,NonDE,NonDE,NonDE,.
slc25a17(1of2),DN,DN,NonDE,NonDE,.
slc25a17(2of2),DN,DN,DN,NonDE,.
slc25a19,NonDE,NonDE,NonDE,NonDE,.
slc25a20,NonDE,NonDE,NonDE,NonDE,.
slc25a21,DN,DN,DN,NonDE,.
slc25a22(1of4),UP,UP,NonDE,NonDE,.
slc25a22(2of4),NonDE,NonDE,NonDE,NonDE,.
slc25a22(4of4),NonDE,DN,DN,NonDE,.
slc25a24(1of3),NonDE,NonDE,NonDE,NonDE,.
slc25a24(2of3),NonDE,NonDE,NonDE,NonDE,.
slc25a24(3of3),UP,UP,UP,NonDE,.
slc25a25(1of4),DN,DN,DN,NonDE,.
slc25a25(3of4),NonDE,NonDE,NonDE,NonDE,.
slc25a25(4of4),DN,DN,DN,NonDE,.
slc25a26,NonDE,NonDE,NonDE,NonDE,.
slc25a28(1of3),DN,DN,DN,NonDE,.
slc25a28(2of3),DN,NonDE,DN,NonDE,.
slc25a28(3of3),UP,UP,UP,NonDE,.
slc25a29(2of2),NonDE,NonDE,NonDE,NonDE,.
slc25a3,DN,DN,DN,NonDE,.
slc25a30,UP,UP,UP,NonDE,.
slc25a32,NonDE,UP,NonDE,NonDE,.
slc25a33,DN,NonDE,NonDE,NonDE,.
slc25a34,UP,UP,NonDE,NonDE,.
slc25a35,NonDE,NonDE,NonDE,NonDE,.
slc25a36(2of3),NonDE,NonDE,NonDE,NonDE,.
slc25a36(3of3),UP,UP,UP,NonDE,.
slc25a38(1of2),NonDE,NonDE,NonDE,NonDE,.
slc25a40(2of3),UP,UP,UP,NonDE,.
slc25a40(3of3),UP,UP,UP,NonDE,.
slc25a42(1of2),UP,UP,UP,NonDE,.
slc25a42(2of2),NonDE,NonDE,NonDE,NonDE,.
slc25a43,NonDE,DN,NonDE,NonDE,.
slc25a44(1of2),UP,UP,UP,NonDE,.
slc25a44(2of2),DN,DN,DN,NonDE,.
slc25a46,NonDE,NonDE,NonDE,NonDE,.
slc25a47,UP,UP,UP,NonDE,.
slc25a48,UP,UP,UP,NonDE,.
slc25a5(1of5),UP,UP,UP,NonDE,.
slc25a5(2of5),UP,NonDE,NonDE,NonDE,.
slc25a5(4of5),NonDE,NonDE,NonDE,NonDE,.
slc25a5(5of5),NonDE,NonDE,NonDE,NonDE,.
slc25a51,NonDE,NonDE,NonDE,NonDE,.
slc25a53,NonDE,NonDE,NonDE,NonDE,.
slc26a11(1of2),NonDE,NonDE,NonDE,NonDE,.
slc26a11(2of2),NonDE,NonDE,UP,NonDE,.
slc26a2(2of2),NonDE,NonDE,NonDE,NonDE,.
slc26a5(1of2),NonDE,NonDE,NonDE,NonDE,.
slc26a5(2of2),NonDE,NonDE,NonDE,NonDE,.
slc26a6(1of2),NonDE,NonDE,DN,UP,.
slc27a1(1of2),DN,NonDE,DN,NonDE,.
slc27a1(2of2),UP,UP,UP,NonDE,.
