id,b_D3d,b_D6d,b_D1m,b_NonD,GO
adipor1,NonDE,NonDE,NonDE,NonDE,.
adipor2,NonDE,NonDE,NonDE,NonDE,.
adk(1of3),NonDE,NonDE,NonDE,NonDE,.
adk(2of3),NonDE,NonDE,NonDE,NonDE,.
adk(3of3),DN,DN,DN,NonDE,.
adm(1of2),NonDE,NonDE,NonDE,NonDE,.
adnp(1of2),NonDE,NonDE,NonDE,NonDE,.
adnp(2of2),NonDE,NonDE,NonDE,NonDE,.
adnp2,DN,DN,NonDE,NonDE,.
ado(1of2),DN,DN,NonDE,NonDE,.
ado(2of2),DN,DN,NonDE,NonDE,.
adora2a(1of2),NonDE,NonDE,NonDE,NonDE,.
adora2b,UP,UP,UP,NonDE,.
adpgk(1of2),DN,DN,DN,NonDE,.
adpgk(2of2),DN,DN,DN,NonDE,.
adprh(1of2),UP,UP,UP,NonDE,.
adprh(2of2),DN,DN,DN,NonDE,.
adprhl1(3of3),UP,UP,UP,NonDE,.
adprhl2,DN,DN,NonDE,NonDE,.
adprm(2of2),NonDE,NonDE,NonDE,NonDE,.
adrbk2,NonDE,NonDE,NonDE,NonDE,.
adrm1(1of2),DN,DN,DN,NonDE,.
adrm1(2of2),NonDE,NonDE,NonDE,NonDE,.
adsl,NonDE,UP,NonDE,NonDE,.
adss(1of2),DN,DN,DN,NonDE,.
adss(2of2),NonDE,NonDE,DN,NonDE,.
adssl1,UP,UP,UP,NonDE,.
aebp1(1of2),DN,DN,DN,DN,.
aebp1(2of2),NonDE,NonDE,NonDE,NonDE,.
aebp2(1of2),DN,DN,DN,NonDE,.
aebp2(2of2),DN,DN,DN,NonDE,.
aen,NonDE,NonDE,NonDE,NonDE,.
aes(1of2),NonDE,NonDE,NonDE,NonDE,.
aes(2of2),NonDE,NonDE,NonDE,NonDE,.
afap1,NonDE,NonDE,NonDE,NonDE,.
afap1l1(1of2),NonDE,NonDE,NonDE,NonDE,.
afap1l1(2of2),NonDE,DN,NonDE,NonDE,.
afap1l2(1of2),NonDE,NonDE,NonDE,NonDE,.
afap1l2(2of2),UP,UP,UP,UP,.
aff3,NonDE,NonDE,NonDE,NonDE,.
aff4(1of2),DN,DN,NonDE,NonDE,.
aff4(2of2),NonDE,NonDE,NonDE,NonDE,.
afg3l1(1of2),DN,DN,DN,NonDE,.
afg3l2,NonDE,NonDE,UP,NonDE,.
afmid(1of2),NonDE,NonDE,NonDE,NonDE,.
afmid(2of2),NonDE,NonDE,UP,NonDE,.
aftph(1of2),NonDE,NonDE,UP,NonDE,.
aftph(2of2),NonDE,NonDE,NonDE,NonDE,.
agap1,NonDE,NonDE,UP,NonDE,.
agap3,NonDE,NonDE,NonDE,NonDE,.
agbl2,UP,UP,UP,NonDE,.
agbl5,UP,NonDE,UP,NonDE,.
agfg1(1of3),UP,UP,UP,NonDE,.
agfg1(2of3),NonDE,NonDE,NonDE,NonDE,.
agfg1(3of3),DN,DN,NonDE,NonDE,.
aggf1,NonDE,NonDE,NonDE,NonDE,.
agk,NonDE,NonDE,NonDE,NonDE,.
agl,NonDE,NonDE,NonDE,NonDE,.
agmat,NonDE,DN,DN,NonDE,.
agmo,NonDE,UP,NonDE,NonDE,.
ago1,NonDE,NonDE,NonDE,UP,.
ago2,NonDE,DN,NonDE,NonDE,.
ago3(1of2),DN,DN,DN,NonDE,.
ago3(2of2),DN,DN,DN,NonDE,.
ago4,NonDE,NonDE,NonDE,NonDE,.
agpat1,NonDE,NonDE,NonDE,NonDE,.
agpat3,NonDE,NonDE,NonDE,NonDE,.
agpat4(1of2),NonDE,NonDE,UP,NonDE,.
agpat4(2of2),NonDE,NonDE,NonDE,NonDE,.
agpat5,NonDE,NonDE,NonDE,NonDE,.
agps,DN,DN,DN,NonDE,.
agr2,NonDE,NonDE,DN,NonDE,.
agr3,NonDE,NonDE,DN,UP,.
agrn,DN,DN,DN,NonDE,.
agrp,NonDE,NonDE,NonDE,NonDE,.
agt,DN,DN,DN,NonDE,.
agtpbp1,NonDE,NonDE,UP,NonDE,.
agtrap,NonDE,NonDE,DN,NonDE,.
agxt(1of2),UP,UP,UP,NonDE,.
agxt(2of2),UP,UP,UP,NonDE,.
agxt2,NonDE,UP,NonDE,NonDE,.
ahctf1,NonDE,NonDE,NonDE,NonDE,.
ahcy,NonDE,NonDE,NonDE,NonDE,.
ahcyl2(1of4),NonDE,NonDE,NonDE,NonDE,.
ahcyl2(2of4),NonDE,NonDE,NonDE,NonDE,.
ahcyl2(3of4),NonDE,NonDE,NonDE,NonDE,.
ahi1(2of2),NonDE,NonDE,NonDE,NonDE,.
ahnak(1of6),UP,UP,NonDE,UP,.
ahnak(2of6),UP,UP,NonDE,NonDE,.
ahnak(3of6),UP,UP,NonDE,NonDE,.
ahnak(4of6),UP,UP,NonDE,NonDE,.
ahnak(5of6),UP,UP,UP,UP,.
ahr(2of3),UP,UP,UP,NonDE,.
ahr(3of3),NonDE,NonDE,NonDE,NonDE,.
ahsa1(1of2),UP,UP,UP,NonDE,.
ahsa1(2of2),NonDE,NonDE,NonDE,NonDE,.
ai314180,NonDE,DN,NonDE,NonDE,.
aida,NonDE,DN,NonDE,NonDE,.
aif1l(1of2),NonDE,NonDE,NonDE,NonDE,.
aif1l(2of2),DN,DN,DN,NonDE,.
aifm1(1of2),NonDE,NonDE,NonDE,NonDE,.
aifm1(2of2),DN,DN,NonDE,NonDE,.
aifm3(2of3),DN,NonDE,NonDE,NonDE,.
aig1(1of2),DN,NonDE,NonDE,NonDE,.
aim1(1of2),NonDE,NonDE,NonDE,NonDE,.
aim1(2of2),NonDE,NonDE,NonDE,UP,.
aim1l,NonDE,NonDE,NonDE,UP,.
aimp1(1of2),UP,UP,UP,NonDE,.
aimp1(2of2),NonDE,NonDE,NonDE,NonDE,.
aimp2,NonDE,NonDE,NonDE,NonDE,.
aip,NonDE,UP,UP,NonDE,.
ajuba,NonDE,NonDE,NonDE,NonDE,.
ak1,NonDE,NonDE,NonDE,NonDE,.
ak2,UP,UP,UP,NonDE,.
ak3,NonDE,UP,NonDE,NonDE,.
ak4,UP,UP,UP,NonDE,.
ak6(2of2),NonDE,UP,UP,NonDE,.
ak7(1of3),NonDE,NonDE,NonDE,NonDE,.
ak8,NonDE,NonDE,NonDE,NonDE,.
ak9,NonDE,NonDE,NonDE,NonDE,.
akap10,NonDE,NonDE,NonDE,NonDE,.
akap11(1of3),NonDE,NonDE,NonDE,NonDE,.
akap12(1of2),NonDE,NonDE,NonDE,NonDE,.
akap13,NonDE,NonDE,NonDE,NonDE,.
akap17a,NonDE,NonDE,NonDE,NonDE,.
akap2,NonDE,NonDE,NonDE,NonDE,.
akap6(1of2),UP,UP,UP,NonDE,.
akap6(2of2),UP,NonDE,UP,NonDE,.
akap7,NonDE,NonDE,NonDE,NonDE,.
akap8l,NonDE,NonDE,NonDE,NonDE,.
akap9(1of2),DN,DN,DN,NonDE,.
akap9(2of2),NonDE,NonDE,NonDE,NonDE,.
akip1,NonDE,NonDE,NonDE,NonDE,.
akirin1,NonDE,NonDE,NonDE,NonDE,.
akirin2(1of2),NonDE,NonDE,NonDE,NonDE,.
