Condition,FDR,DE,,,,,,
D3d,1.22E-14,2.206104184,,,,,,
D3d,2.56E-12,1.308957033,,,,,,
D3d,1.49E-30,1.719181281,,,,,,
D3d,4.99E-22,1.524145345,,,,,,
D3d,1.98E-19,2.905316,,,,,,
D3d,8.98E-19,1.573080692,,,,,,
D3d,7.79E-07,0.782008353,,,,,,
D3d,0.000371933,2.589363794,,,,,,
D3d,0.167824459,-0.366080588,,,,,,
D3d,4.44E-15,-0.958581649,,,,,,
D3d,0.000101264,-0.917227654,,,,,,
D3d,0.465808195,0.631259212,,,,,,
D3d,0.000777422,-1.054134741,,,,,,
D3d,0.001484746,-0.968464882,,,,,,
D3d,2.23E-17,-1.575482883,,,,,,
D3d,0.002632118,-1.67996562,,,,,,
D3d,4.42E-09,-1.242413803,,,,,,
D3d,0.013960632,0.419927995,,,,,,
D3d,1.77E-07,0.830040649,,,,,,
D3d,0.553831226,0.144827589,,,,,,
D3d,3.30E-15,3.471484579,,,,,,
D3d,0.001881134,-0.479136078,,,,,,
D3d,0.004407221,0.429137673,,,,,,
D3d,1.93E-14,0.993414847,,,,,,
D3d,0.120886581,0.224295694,,,,,,
D3d,0.001704502,0.823874638,,,,,,
D3d,2.26E-23,1.180995847,,,,,,
D3d,9.23E-08,0.81181361,,,,,,
D3d,2.85E-17,1.677289365,,,,,,
D3d,5.56E-05,0.580240285,,,,,,
D3d,0.289375019,0.366888397,,,,,,
D3d,0.571247151,-0.342493772,,,,,,
D3d,0.99684579,-0.001380964,,,,,,
D3d,0.990597213,0.002996057,,,,,,
D3d,0.882941073,0.046901537,,,,,,
D3d,0.183899875,0.206012935,,,,,,
D3d,2.21E-05,0.52222013,,,,,,
D3d,0.252754768,-0.289790313,,,,,,
D3d,0.672380846,-0.061694905,,,,,,
D3d,7.34E-18,1.491730933,,,,,,
D3d,0.000265696,1.181295292,,,,,,
D3d,2.33E-14,0.98319964,,,,,,
D3d,0.072914913,-0.380339783,,,,,,
D3d,1.56E-22,-1.549084402,,,,,,
D3d,0.602293441,0.076050684,,,,,,
D3d,0.187714448,-0.931777758,,,,,,
D3d,0.000945534,-0.951104398,,,,,,
D3d,0.09290262,0.288792259,,,,,,
D3d,6.08E-12,-0.912674105,,,,,,
D3d,0.413390757,-0.974412634,,,,,,
D3d,0.001388586,0.517911696,,,,,,
D3d,0.581918893,-0.606914701,,,,,,
D3d,0.006256391,0.74409655,,,,,,
D3d,0.008474669,1.011507394,,,,,,
D3d,1.03E-24,-1.912112422,,,,,,
D3d,1.54E-10,0.968287296,,,,,,
D3d,1.21E-16,1.749266098,,,,,,
D3d,0.777803447,-0.066893952,,,,,,
D3d,0.726781344,-0.059691482,,,,,,
D3d,5.75E-47,2.336359652,,,,,,
D3d,8.53E-07,0.614303445,,,,,,
D3d,0.002163488,0.906221189,,,,,,
D3d,0.822900264,0.063267246,,,,,,
D3d,1.17E-10,0.971139872,,,,,,
D3d,1.40E-06,0.618267453,,,,,,
D3d,7.55E-07,-0.728119677,,,,,,
D3d,0.813830282,0.036729882,,,,,,
D3d,0.064260142,0.675814524,,,,,,
D3d,0.306288392,-0.142465251,,,,,,
D3d,0.057379014,-0.836535313,,,,,,
D3d,0.164087032,0.185371979,,,,,,
D3d,2.23E-07,-0.926867295,,,,,,
D3d,2.50E-22,1.450487014,,,,,,
D3d,0.27432752,-1.761646814,,,,,,
D3d,1.52E-06,0.649546683,,,,,,
D3d,0.000260213,-0.820069729,,,,,,
D3d,0.714720979,-0.139445395,,,,,,
D3d,0.039599095,-0.670164923,,,,,,
D3d,8.64E-13,1.447133743,,,,,,
D3d,1.55E-05,-0.738111148,,,,,,
D3d,0.003413859,-0.741968206,,,,,,
D3d,0.002850934,0.396588403,,,,,,
D3d,0.000362606,0.659988324,,,,,,
D3d,0.006569,1.164386071,,,,,,
D3d,1.79E-12,-1.264486869,,,,,,
D3d,4.91E-102,3.099120779,,,,,,
D3d,5.56E-23,3.522318753,,,,,,
D3d,8.60E-47,3.633940446,,,,,,
D3d,5.64E-08,0.788817287,,,,,,
D3d,1.98E-28,1.402757146,,,,,,
D3d,0.755535417,0.082809093,,,,,,
D3d,1.85E-08,-1.103505416,,,,,,
D3d,9.57E-38,1.893842582,,,,,,
D3d,0.11281254,0.301552354,,,,,,
D3d,0.433844218,-0.164868206,,,,,,
D3d,0.812833292,-0.060492879,,,,,,
D3d,0.995556848,0.002228628,,,,,,
D3d,0.044133387,-0.462671935,,,,,,
