"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"adgrf5(2of6)",0.000757123258638371,0.00391759598465625,0.0149307803642718,0.00752978674738919,0.0144347795482559
"pdap1(2of2)",0.00815029248592953,0.000111416751907389,0.000331804754900995,0.00121025920253265,3.5240157577095e-05
"abhd11",0.00713181687011008,0.000297977337623992,0.000314071385896409,0.000122628608924154,0.00528898552389226
"dab2(1of2)",0.00109543394609028,0.0196722441461373,0.00421864157030669,0.0204956068032715,8.02569354138158e-06
"doc2a(2of2)",0.000230025112154412,0.00588105184299656,0.00596343537012242,0.00141811668011486,0.0395796223476478
"LOC107379328",0.00519028204879643,0.000853701976998239,0.00041542964976997,0.000148109520137979,0.00427684558785304
"atp5e",0.00756784603248239,0.000467398852260394,0.00142990533181033,0.000577541535380255,2.47691328562617e-05
"hdgf",0.0081396680961882,7.61017014923251e-06,4.48419295718644e-06,0.00147738390521801,0.000134038596197004
"fancm",0.00799436131153018,0.000542488643284769,0.000487972008541807,1.65332046608078e-05,6.31258763557562e-05
"cmip",0.000697724779502678,0.00964348460561305,0.00121285102018086,0.0583389536095199,0.000187661715806548
"bri3",0.00483568400087,0.00946542222727907,8.35633721124277e-05,6.66851257914442e-05,0.0162072136585719
"znf569(1of12)",0.00709233973014185,5.1147348176914e-05,0.00175847507347117,0.00249878958828662,0.000414138324986018
"tmem82(2of2)",0.00760727446688176,0.000861766447297197,0.000124304599984222,0.000454857356489133,0.000111354277376329
"gpd1(1of3)",0.00503349430335951,0.00465526378049365,0.000299972990396023,0.00985271759231715,0.0185374226913089
"dtx4(2of3)",0.00753603001271036,0.000940147886116498,0.00321817968965186,0.000416699470506547,0.000613027875889508
"cetn2(2of2)",0.00130573306346274,0.00114057125472587,0.0271248075438355,0.00807804801893521,0.0290544473522723
"aif1l(1of2)",0.000154791576756498,0.000606534799279289,0.00403577213630399,1.59134300048267e-05,0.0057549006479341
"map3k12(1of2)",0.0017037321852428,0.0137398599633212,0.0214005042960305,0.00213758480592946,2.05868076736449e-06
"rhag(2of2)",0.00684512616811208,0.00680857510320483,2.68254379823819e-06,8.47992510130722e-05,0.000568623528395194
"snd1",0.00585735323176416,0.0114902314298102,0.000449504355932377,0.000409870820889738,0.00101123898612479
"e2f3(3of3)",0.00663772197028493,0.00251728283632545,5.92269144876521e-05,0.00155652055955522,0.000227811802942583
"glrx3",0.00725113313371375,0.00167887750290582,0.00111976287968133,0.00246952429131288,8.60841584838157e-06
"hoxc6",0.00754530495136342,0.000675131678079477,0.00349067450197739,0.000947822985772487,9.67524320931317e-06
"frem2(2of3)",0.00498427298546154,0.015033051137925,0.000150743103764308,0.000454056234640448,0.000626078580185415
"il18rap",0.00480305199593843,0.00142115097374447,6.34983522570771e-06,0.00238299422965645,0.000114413609454027
"cldn20(1of2)",0.000846542923938076,0.00646842877763712,0.0027210606364248,4.16153060068819e-05,0.000542432176181438
"LOC107394807",0.00639982054728682,0.00669824659495555,0.00134349225348634,4.93891508605022e-06,0.00550859211933089
"prkd3(1of2)",0.00498008499448725,0.00254994926294088,0.00595933295980156,0.000518833167750629,0.0215484231141308
"LOC107372942",0.00686409367108702,0.00166111770222716,0.0040385417657677,0.00224174837926186,0.00210622974619574
"gnrhr(3of3)",0.000853900918913332,0.0144545332575009,0.000952837732901819,0.040170682371925,0.00198071727652937
"ak5",0.000915554155837082,0.0207479618267574,0.00206180161216742,0.00408112177675241,0.00169957738343399
"uncx(1of3)",0.00519360659053734,0.00406092153153304,1.09855709209183e-05,0.00214859890559802,2.65908994841461e-05
"dis3",0.00725588273330017,0.00444522569776961,8.48942965432481e-07,0.00123744766556495,0.000830716637500886
"amt",0.00814250059755457,5.04545029749702e-05,3.14228066108837e-06,0.000457550873242059,0.00055377666554502
"guk1(1of2)",0.00753358078129355,0.00274908335095809,0.000476413742253548,7.71417417549578e-05,0.000102332040137357
"tnpo2(1of2)",0.00806787975900731,0.000751447777172962,0.000237631667248451,6.21824839275613e-05,1.58894218922928e-05
"exosc4",0.00658258878313259,0.000380021763339407,0.00133897090946165,0.0137842215686218,0.00137698303711469
"g6pd(1of2)",0.00415022831535198,0.0183136601764473,3.55044932715475e-05,0.000866444322273185,0.000164557987526662
"fgf6(1of4)",0.00379623523904011,0.000173623454179748,0.00380594933233068,0.000147213776036694,0.0407008034402018
"rps17(1of2)",0.00451561525838843,0.0113568783038428,0.0053026576256305,0.000340013997807245,0.000182556059100203
"tmem50a",0.00703690721724754,0.0014010440578321,0.000698813990051276,0.00218189278793735,0.000153098891617937
"chchd7",0.000219613646632085,0.0220367908591957,0.0116716559888313,0.0121701085797618,0.0031076405022293
"sh3bgr",0.00587062497007327,0.00510713510106623,0.00728906480048205,0.00145208839958121,0.00119822456429949
"LOC107381015",0.00210883582337233,0.00526877772474266,0.00344154379575037,0.000590282039242691,0.0058108034315925
"cnnm3",0.00707320680292097,0.00156100252443286,0.00582804242070678,8.17007916563893e-05,0.000282497204266598
"LOC107373439",0.00193997363248423,0.00596945687017515,0.000401208287989346,0.0282426394971726,0.0100731743972179
"ccdc171",0.000287539856589979,0.00974233133453509,0.00231257912536713,0.0220167215157789,0.00345607943510214
"krtcap3(1of2)",0.00425919476671697,0.00569570156557815,0.00208203291318101,0.00010609835307417,0.000396432747746489
"ano1(3of5)",0.00712645538316335,0.00023888288566982,0.000572083622404724,0.000945980650705868,0.00116154223778189
"srgap2",0.00795573321647528,0.000249094285108553,0.00135405282005363,0.00177371355307794,2.591643557307e-05
"sfrp2(1of2)",0.00295764005451462,0.00257810590382574,0.0187415484228192,0.00880840649206796,0.000662233556662522
"osgin2(1of2)",0.00197995912971853,0.0216858370275411,6.25236865226895e-05,0.00662654240421423,0.00259914960876903
"aven",0.00811406044851547,0.000100538074103951,9.5191162599039e-05,0.00025793214073692,0.00125533352952096
"rin2(4of4)",0.00745851213439734,6.64370249280523e-06,0.000900783407645818,0.00390845008052304,1.78839244853992e-05
"serp1",0.000733201962418436,0.0217990994317044,0.00309773414744652,0.00829667700352983,1.14197476899636e-06
"smox",0.00778610066443968,0.000152364043494683,0.000307083421987351,8.30047399827941e-05,0.000349258089624787
"c18orf63",0.0013016299447624,0.00554707444341476,0.00584310372269166,0.024074825631648,0.00799067772256397
"casr(22of74)",0.000518510840995309,0.000439532315392771,3.58241123100863e-06,0.00623014527318205,0.0133083738175935
"prkca(2of3)",0.00110881135573029,0.000428486913048097,0.000931692137168423,0.000579995380461122,0.0175146323948748
"slc3a2(2of2)",0.00546056758937607,0.00750648234076845,0.00656742244032137,0.000973231729692063,0.000178467558876908
"snx15",0.00175723768931881,0.017559561904993,0.000178326257386673,0.00553310378101484,0.00191669932393646
"ephb2(1of2)",0.00810361467724013,0.000597899868582835,1.10391537570907e-05,9.23911093729097e-05,2.64445306191938e-05
"zfp644",0.00801537347728721,0.000112454201163776,0.000591719368077582,0.00156567756780467,7.68341887595628e-05
