id,qval,Log2Fold
fbn1(2of2),3.64E-06,0.967494702
rap1a,3.73E-06,0.642570103
harbi1(26of28),3.80E-06,0.527693316
mvd,3.85E-06,0.692470262
nipsnap1,3.85E-06,0.747473068
pttg1ip(3of3),3.91E-06,0.801061603
krt17(2of5),3.92E-06,-0.911032045
znf692(1of2),4.01E-06,-0.486172434
bola1,4.11E-06,0.486764915
sema3c,4.19E-06,-0.767867537
cep89,4.39E-06,-0.563181043
pmp22(2of2),4.44E-06,0.562595049
LOC107373399,4.47E-06,-0.661688318
stt3b(2of3),4.53E-06,-0.800441909
dusp11(1of2),4.54E-06,0.573782016
ppp1r26,4.57E-06,-0.803460982
scrib,4.58E-06,-0.570702259
cic(1of2),4.66E-06,-0.662818228
anxa1(1of2),4.77E-06,0.698283346
polg2,4.80E-06,-2.40881449
pwp2,4.85E-06,-0.505807464
lzts1,4.88E-06,1.121001373
st6gal2(1of2),4.91E-06,-0.749207564
ube2r2,5.03E-06,0.499254938
p2rx7(10of10),5.08E-06,-0.479227985
scnm1,5.17E-06,0.559458043
galr1(3of4),5.17E-06,-1.963269041
nr2c2(1of2),5.29E-06,0.490684336
fam98c,5.42E-06,0.513648686
vps28,5.55E-06,0.627104523
rab38(2of2),5.73E-06,0.750714487
pa2g4(1of2),5.84E-06,0.576634696
hsd17b14,6.02E-06,0.49327935
gbas(2of2),6.11E-06,-0.79854723
dhx35(1of3),6.11E-06,0.622908632
mlph(2of2),6.13E-06,-0.935376109
ywhaz(2of2),6.17E-06,0.605516641
st8sia5,6.17E-06,-0.811292176
lysmd4,6.21E-06,0.605129133
cep164(2of2),6.27E-06,-0.548396876
spint2,6.32E-06,0.479371552
LOC107377470,6.35E-06,-0.539315192
tspan15(1of4),6.39E-06,1.615242969
LOC107384285,6.42E-06,0.479457014
gulp1(2of2),6.42E-06,0.580614554
ttn(4of4),6.54E-06,-0.618163081
npm1(1of2),6.62E-06,0.526340158
spint1(1of2),6.77E-06,0.747366634
trim16(11of15),6.86E-06,0.761828922
magi2(2of2),6.94E-06,-0.918918442
tollip,6.98E-06,0.559620387
rhoa(5of5),7.01E-06,0.578416366
zcchc6,7.29E-06,-0.50245923
harbi1(28of28),7.30E-06,0.922741022
pld1(2of2),7.32E-06,0.632579369
slc39a1(1of2),7.45E-06,0.759148031
mpdz(3of3),7.46E-06,-0.590778672
znf724p,7.49E-06,0.610187643
jmy(2of2),7.49E-06,-0.642541685
polh,7.61E-06,0.676278884
slc25a51,7.65E-06,0.554019216
zbed4(19of38),7.69E-06,-1.05348971
hmgb1(2of2),7.87E-06,0.524564041
slc10a3,7.93E-06,0.802242232
hc,7.96E-06,-0.814753826
rims2(1of4),7.96E-06,-0.802979175
rai1,8.03E-06,-0.798915015
ddias,8.22E-06,0.644846789
adamts7,8.40E-06,-0.781979064
prune2(2of2),8.44E-06,-0.636412927
znf235(67of148),8.51E-06,0.565541216
tmx3(2of2),8.67E-06,-0.695452793
trnau1ap(2of2),8.68E-06,0.536613831
c16orf58,8.70E-06,0.552828905
foxq1(1of2),8.72E-06,0.940508091
pdcl,8.75E-06,0.511718652
LOC107372738,8.96E-06,-0.583435926
rp11-212d19.4,9.10E-06,0.475698469
mcm2,9.13E-06,0.680033987
acsf2(1of2),9.25E-06,0.55635736
dazl,9.26E-06,-0.867604838
tob1(2of2),9.27E-06,0.56210242
dbndd1,9.31E-06,-1.405750758
ptprg,9.36E-06,-0.49974766
usp11,9.43E-06,-0.96684715
ascc3,9.45E-06,-0.518944616
myof(2of2),9.61E-06,-0.61348682
rap1gap(3of3),9.71E-06,-0.67692546
tceb2(1of2),9.83E-06,0.557781214
gna13(1of2),9.84E-06,0.543275191
mapk10,9.96E-06,-0.639092468
c10orf54,1.00E-05,0.491402692
ralb(1of2),1.01E-05,0.52183551
tax1bp1(3of4),1.02E-05,-0.567373529
rpusd1,1.02E-05,0.519214523
akap9(2of2),1.02E-05,-0.521978335
ms4a4a(2of4),1.03E-05,0.604586691
rassf8(3of3),1.04E-05,0.48948359
stip1(2of4),1.10E-05,0.472331852
hmgb1(1of2),1.12E-05,0.47610761
stx5,1.13E-05,0.66109918
c19orf70,1.13E-05,0.468573579
srrm3,1.13E-05,-0.686605762
pip4k2a,1.15E-05,-0.569516307
kctd12(1of2),1.21E-05,-0.65268781
ncam1(2of3),1.21E-05,-0.601615329
rnf157,1.22E-05,-0.576990641
creb1(4of5),1.23E-05,0.823034535
ndel1(1of2),1.25E-05,0.577746394
afmid(2of2),1.27E-05,0.590099943
rad21(1of2),1.28E-05,0.657581533
fam208a(1of2),1.28E-05,-0.493232433
prr15,1.28E-05,0.847528517
arrdc3(6of8),1.28E-05,0.611460001
dnah12(2of2),1.29E-05,-0.881493901
prkab1(2of2),1.30E-05,0.531239136
slc4a10(1of3),1.34E-05,-0.653951805
sppl3,1.35E-05,0.468700797
nfu1(1of2),1.36E-05,0.48084098
abtb1,1.37E-05,0.615376232
fam69b,1.37E-05,-0.56991067
aebp1(2of2),1.37E-05,-0.659855467
dock9(2of2),1.38E-05,-0.596331169
xiap,1.38E-05,0.574072079
hibadh(1of2),1.38E-05,0.554839259
cyba,1.39E-05,0.823851569
map1lc3b,1.39E-05,0.537640499
tm9sf2,1.42E-05,0.470158715
znf35,1.43E-05,0.59092547
dym,1.44E-05,0.554006754
eif1ad,1.46E-05,0.926511712
klhl2,1.47E-05,-0.611858888
dpp3,1.48E-05,-0.692764228
dapl1,1.51E-05,0.47977598
sept10,1.52E-05,0.599793796
btg4(1of2),1.54E-05,0.718214987
ccdc64b,1.55E-05,0.581827056
tnfsf10(3of3),1.55E-05,0.49365824
LOC107374475,1.56E-05,-0.685738925
rrm2(1of2),1.60E-05,0.459618103
csrp2(1of3),1.61E-05,0.85226925
cdo1,1.61E-05,0.57538721
scn3b(2of2),1.61E-05,0.45904758
cdca4(1of2),1.63E-05,0.532301985
nlrc3(2of24),1.64E-05,-1.011814538
cbs(2of2),1.65E-05,0.481393445
apol3(3of3),1.65E-05,-0.748167595
asrgl1(2of3),1.65E-05,0.547727631
chmp4b(1of2),1.66E-05,0.487093038
mbd3(2of2),1.66E-05,0.583904856
hdgf,1.68E-05,0.568212403
flna,1.69E-05,-0.515316545
aph1a,1.73E-05,0.517139434
slc9a8,1.75E-05,-0.462817967
cdkn1b(1of3),1.77E-05,0.667188064
trim39(22of27),1.79E-05,-0.849106643
prcc,1.80E-05,0.606478832
pcbp2(2of2),1.80E-05,0.774099331
mettl18,1.85E-05,0.463813553
slc44a2(3of3),1.88E-05,0.51938768
znf582,1.90E-05,0.453595761
invs,1.92E-05,-0.493311557
ptges3(2of2),1.92E-05,0.612486411
trim2(1of3),1.96E-05,1.25975749
dpf2(1of2),1.97E-05,0.463037802
eml6,1.99E-05,-0.650204305
tmem178b(3of3),1.99E-05,0.78129201
cdkl1(1of2),2.00E-05,0.790834614
sirt5(2of2),2.02E-05,0.553674642
h2afz,2.03E-05,0.536232148
vps26a,2.04E-05,0.470213783
shroom3(2of2),2.05E-05,-0.585536495
dcaf12,2.06E-05,0.483435712
pax2(2of2),2.08E-05,0.576079896
znrd1,2.09E-05,0.511021125
itih5,2.10E-05,-0.634513349
crebrf(1of2),2.11E-05,-0.691881365
smad1,2.11E-05,0.458926347
prr13,2.12E-05,0.635242703
smad6(2of2),2.14E-05,0.570468806
ing2,2.17E-05,0.522182384
pphln1(3of3),2.17E-05,0.688439567
srr(1of2),2.18E-05,-1.545382289
drc7,2.20E-05,-0.588853586
emd,2.21E-05,0.559012136
ncln(1of2),2.21E-05,-0.949572651
trim80(9of16),2.21E-05,-0.629746312
arhgef12(2of2),2.23E-05,-0.511159998
atg5,2.23E-05,0.708057299
man1b1(2of2),2.23E-05,-0.484453756
slc25a5(2of5),2.24E-05,0.53718362
mmp16(1of3),2.24E-05,-0.625421151
cep164(1of2),2.26E-05,-0.471179044
ccdc80(1of2),2.27E-05,-0.535605779
sec13,2.28E-05,0.642537471
and1,2.28E-05,-0.614859719
tgif2-c20orf24,2.28E-05,0.751016427
ywhae(2of2),2.29E-05,0.459720089
gatad1,2.31E-05,0.479992396
lsm4,2.32E-05,0.447817638
arl4c(2of2),2.36E-05,-0.866005183
sptssa,2.36E-05,0.641858123
rbm8a,2.37E-05,0.51750826
bloc1s4,2.38E-05,0.558452162
tia1(2of2),2.39E-05,0.913467586
crocc(1of5),2.40E-05,-0.632603756
c19orf47,2.41E-05,0.54849246
pgap1,2.43E-05,1.037971387
klhdc8a,2.44E-05,-0.876188743
mkrn2(2of2),2.46E-05,0.498458007
plec(1of4),2.49E-05,-0.510902308
abat,2.50E-05,0.672967279
mapk13,2.51E-05,0.448291766
srp68,2.55E-05,0.501209064
ttll8,2.57E-05,-0.856922181
tecr(2of2),2.57E-05,0.546537268
hat1,2.57E-05,0.543401094
oaz1(2of2),2.59E-05,0.574807197
brms1l(1of4),2.62E-05,0.581330204
LOC107376301,2.62E-05,0.571719594
abca1(3of5),2.63E-05,-0.739667341
cntnap1,2.68E-05,-0.757942473
ttbk2(1of2),2.68E-05,-0.671429626
nfatc3(2of2),2.70E-05,-0.6106059
crebzf,2.77E-05,0.646204021
senp1(3of3),2.79E-05,0.507475895
slc39a1(2of2),2.80E-05,-0.624904184
arhgef28(1of2),2.80E-05,-0.487601357
stk35(1of2),2.81E-05,0.780469312
zmynd10,2.81E-05,0.507838464
plec(4of4),2.84E-05,0.440695631
dffb,2.85E-05,-1.154454084
zfp593,2.86E-05,0.509043715
plekhb2(1of2),2.86E-05,0.527832989
cat,2.86E-05,0.520609497
calm3(2of4),2.87E-05,0.481090963
grpel1,2.87E-05,0.65451244
rasgef1b(1of2),2.88E-05,0.441242149
dsp(1of2),2.89E-05,-1.236157641
lnx1,2.89E-05,-0.561365164
bod1,2.91E-05,0.621826304
alpk1,2.92E-05,-0.507010452
sh3bp4(2of2),2.93E-05,0.470657151
gnl1,2.96E-05,0.473071308
nlk(1of3),2.97E-05,-0.483557659
mvb12b(1of2),3.01E-05,0.617683139
glud1,3.03E-05,0.438745584
vapb(2of2),3.03E-05,0.494681463
polr3c,3.03E-05,0.438796699
slc35c2,3.05E-05,0.583932239
glul(1of3),3.05E-05,0.861103809
sertad3,3.06E-05,0.534918262
ift74(1of2),3.11E-05,-0.480176241
fam60a(2of2),3.13E-05,0.437756742
stx11(2of4),3.16E-05,0.644353796
tbcb,3.21E-05,0.43745475
samd3(1of10),3.22E-05,-0.717724491
slc25a30,3.22E-05,0.676413604
hpd(2of2),3.29E-05,0.641646154
ctdsp2,3.31E-05,0.436912237
nutf2(1of2),3.36E-05,0.588562843
acvr2a,3.41E-05,-0.664001746
st8sia6(1of2),3.44E-05,0.46094605
ndufaf3,3.51E-05,0.618875504
ap1s2(1of2),3.53E-05,0.483994185
trpc1,3.56E-05,0.96735753
tcp11l2,3.56E-05,0.448809116
eif4e(3of3),3.59E-05,0.61358254
ugcg,3.60E-05,-1.366308375
c1qbp,3.62E-05,0.580989583
