id,PreD_Lib1,PreD_Lib2,PreD_Lib3,D3d_Lib11,D3d_Lib12,D3d_Lib24,D6d_Lib14,D6d_Lib15,D6d_Lib16,D1m_Lib18,D1m_Lib19,D1m_Lib26,NonD_Lib21,NonD_Lib22,NonD_Lib23
timm8b,17.19230067,20.36271661,16.29666389,13.74251757,10.32615703,7.492733398,17.02772262,19.7304044,14.83940459,18.00221774,19.24844733,17.51348916,26.23034686,28.52316741,31.481914
timm9,46.38937275,46.00992694,51.45586831,33.13566902,39.54356812,41.89558411,39.42551799,42.3630806,36.68971694,24.01023501,41.4486315,32.28474119,49.33318791,56.3416933,60.68038343
timmdc1,7.168991559,7.193593767,4.97972803,1.886425519,2.610073886,1.865089724,2.52972285,3.035309846,1.909619764,3.391379697,2.905281899,2.658229515,4.532216948,5.556913609,5.795163697
timp2,5.46770617,7.522400713,12.56116221,38.23382843,39.53051047,31.79131867,38.25879287,38.72003565,31.41175779,38.6773419,35.25778315,34.00700354,6.690190019,6.105217317,7.964736868
timp3,10.90391461,14.57689583,16.01697499,39.85464986,45.00086443,36.03342106,39.72798202,45.1819019,43.30060984,25.54189288,21.72079619,20.8265642,7.05615292,7.444118828,8.892485316
timp4,0.297436359,0.521185261,0.781545524,0.755775296,0.955748329,0.616534125,0.5484474,0.249037275,0.39313755,0.165943748,0.128236625,0.355130841,1.318582815,2.064419512,1.965282994
tinagl1,8.985312771,13.22522741,14.59489229,60.69558988,70.4445081,61.66480533,105.3578486,126.4346525,116.5522668,180.1189218,118.3252661,93.94419007,11.33687109,11.45367902,14.20594202
tinf2(1of2),12.90806498,11.655298,9.731689468,2.964796992,2.665405345,2.191650813,1.854198502,3.300842215,3.844073702,3.731015346,3.117946733,3.773541634,10.88302711,10.01760847,10.59167285
tinf2(2of2),10.84844644,10.59974482,7.429298349,1.487769641,1.637102727,2.612317971,2.338132829,2.48907333,2.40915719,3.26379797,2.988822149,3.644000871,10.61300268,10.92475559,9.109188533
tiparp,12.30094932,11.792356,12.7079384,15.10383543,14.99336648,15.41867879,15.78025862,16.38958456,15.69112603,23.40424366,14.99151792,14.01937124,10.9901174,11.06686176,10.72289024
tipin,17.46658832,11.77293573,10.14666713,0.367634544,0.191998044,0.474496076,0.58590616,0,0.275711227,0.696883871,0.941461784,0.791421275,15.54748171,13.91718248,12.39706819
tiprl,23.51036082,26.64162689,27.51373933,34.37775548,29.90265747,32.2312934,41.69027938,42.05046224,36.86962893,33.7639373,42.13595747,36.07441823,20.31253115,24.75544053,26.35392866
tirap,0.253320991,0.293940062,0.137711602,0.531808143,0.560394475,0.250573382,0.738550821,0.191607472,0.414727111,0.31634605,0.215344282,0.335933407,0.540009943,0.572104775,0.628064006
tjap1(1of3),5.404002677,3.249040695,4.141085991,2.945237493,3.769392939,3.788443277,2.090981764,3.01493784,2.765646952,2.798755852,2.31312268,6.284613355,7.584482669,5.577722429,5.001189508
tjap1(2of3),0.555780188,0.672096698,0.638387847,0.73814685,0.494922108,0.662693745,0.57031306,0.475324428,0.335681203,0.659874469,0.507628435,1.161149811,0.642610905,0.510883438,0.400561409
tjap1(3of3),5.292824007,4.627922209,4.627355501,2.486158371,3.131643443,3.569304156,2.774548362,3.077966766,3.206741427,4.304046647,4.095759839,3.411726239,5.161117015,5.556436729,4.674424259
tjp1(1of2),16.49943275,14.05872045,13.60605609,10.826193,11.92853941,12.63354963,11.97765172,11.76568407,12.30745341,19.66050581,13.17506157,14.9039378,13.33414788,13.71324226,11.91452005
tjp1(2of2),28.07997531,24.5943319,24.63953105,29.2177511,29.31879377,29.72971119,25.15672006,27.62251224,27.49079205,34.4953722,21.53806994,23.04025481,26.18340381,27.3603264,26.16600759
tjp2,16.12336895,14.61240773,15.00623376,16.9817434,19.88692018,22.98297416,19.18404934,20.67891977,20.40244782,40.0901667,22.90967745,30.32492212,17.08456737,16.9308988,16.87332481
tjp3,12.39398876,11.7691506,11.83372962,13.95016067,15.64296555,15.75880893,12.92740535,12.6689041,12.6889636,11.96462378,9.098593977,9.558792709,17.89720856,16.73172075,16.82579907
tk1,74.62951147,75.43872448,73.58759213,6.970231024,2.793653815,1.315436056,2.047891386,1.525274739,1.99143169,7.508499037,6.100925716,6.570181038,84.06670228,82.03413284,91.61374572
tkfc,3.47660639,2.777031573,3.019976633,3.617642577,3.120530403,4.292725163,3.534744504,2.827328424,2.865599553,5.548054748,7.049176825,7.531931861,2.058016112,1.790928262,1.785889014
tkt(2of2),0.210802985,0.236864585,0.135268004,0.095853809,0.149990944,0.224436371,0.120793545,0.094090215,0.201978731,0.249527314,0,0.070793827,0.364810584,0.141760492,0.201595847
tktl2,76.0532621,71.26511159,69.08125598,33.73119476,31.88645558,37.96299954,33.2916407,39.87663456,38.43892913,42.84991997,34.66985173,31.02480657,71.49544712,74.09317478,78.00608898
tlcd1,1.2533947,0.790687862,0.684933806,0.366645808,0.328713936,0.229927009,0.073982058,0.144963357,0.265322589,0.59480139,0.593319143,0.379280695,1.030833436,1.008216846,0.870231939
tlcd2,11.23332998,11.91161718,12.39455183,17.29335859,16.13671289,14.18813218,27.80109242,33.69476987,31.8589056,22.79847146,21.36234304,16.5508267,9.213642298,11.65339541,9.891575457
tldc1,56.84500036,70.43092971,83.42779328,160.2572274,140.563304,133.4775113,127.6903779,131.5868652,128.7509848,112.045861,110.0654712,118.5022888,41.70548139,45.38746767,55.27102558
tle1(1of2),42.64583045,37.11247072,35.12369802,24.99466091,22.45992687,23.86099315,20.3088563,20.34755695,21.28272972,22.36776734,18.11398166,16.58896471,30.33182847,32.37232071,31.73713994
tle1(2of2),19.113583,17.66646758,19.25015556,15.68742812,16.23619948,16.08355242,14.64655217,14.596108,14.60912629,12.77427717,7.905679834,9.349427555,21.51754032,23.19752015,20.85637229
