id,b_PreD,b_D3d,b_D6d,b_D1m,b_D4m,b_NonD
pirt,0,-1.503486356,0.074898491,0.217231136,1.219787303,0.355911139
cpeb1,0,-1.340082751,0.288557227,2.409661655,1.040745002,0.921307761
cdh22,0,0.813384422,1.93602549,-0.323243327,2.068776137,1.17865401
gphb5(2of2),0,0.85320625,1.227718818,-0.796683236,1.640337871,0.783183558
pfkp(1of2),0,0.269539922,2.291855186,2.889861387,3.519951024,2.810789241
tnfrsf11b(3of4),0,1.859038017,2.582696694,2.282211814,1.640337871,0.740127727
enpp6(1of2),0,0.904277946,2.209401093,1.786042803,-2.707766253,-0.710351445
LOC107378458,0,5.878175383,6.640930678,6.22164731,4.860573014,2.646606427
pde9a(2of2),0,1.100607196,1.792416139,-0.433707921,2.233008597,1.508388315
tatdn2,0,1.945073311,0.1032542,0.380928228,0.575322292,-0.300239187
gpr61(3of4),0,0.494222236,1.542135679,0.261992597,0.856159186,0.74948524
clec4e(3of4),0,1.967143983,2.875241066,2.541664448,1.51779793,-0.636749518
apoa4(3of4),0,0.838687311,1.775015337,1.879464484,0.281008804,1.381070207
ceacam21,0,-1.713003517,0.632767976,1.597176814,-1.268770306,0.538709911
slco1c1(2of4),0,1.032614182,-0.888098228,0.355627649,1.000947047,2.710562593
dusp22(2of2),0,4.486813298,4.891724012,4.161691564,3.381417724,1.644719276
cnrip1(1of2),0,0.71211722,-0.531332957,1.208639668,-1.269574581,1.201036331
cd74(2of2),0,2.020881661,0.332834407,0.783964011,0.541615598,-0.701293164
rtl1(11of17),0,0.232620676,0.380602388,1.035094013,-0.574842764,1.320143335
mpp2(2of2),0,1.528618507,1.662904321,0.891613206,2.198732326,1.543555271
prkg2(2of3),0,-0.134170262,0.525137207,0.84569568,0.778413366,0.563691106
pip5k1c(1of2),0,0.163972351,1.972429411,2.041611318,-1.289093587,-0.606081871
vsnl1(2of3),0,1.06617067,1.48295495,0.288068236,1.318819023,1.100871131
ahsa1(1of2),0,2.593308386,2.480108007,2.276267058,2.101461393,0.997708657
