id,PreD_Lib1,PreD_Lib2,PreD_Lib3,D3d_Lib11,D3d_Lib12,D3d_Lib24,D6d_Lib14,D6d_Lib15,D6d_Lib16,D1m_Lib18,D1m_Lib19,D1m_Lib26,D4m_Lib20,NonD_Lib21,NonD_Lib22,NonD_Lib23
rccd1,14.8400977,14.24975785,15.13022816,11.59630611,14.11719651,13.44377751,17.47099363,13.3362865,13.50196217,9.379947029,13.15401119,13.20340094,13.02117711,10.70655538,12.77886895,11.53333323
rce1,1.025264503,0.838830898,0.533437396,0.5771622,0.319253443,0.536606622,0.4323514,0.471695948,0.541388195,0.385952336,0.292371531,0.206972744,0.495591106,0.745252989,0.676435112,0.529230292
rchy1,13.94298876,14.307229,13.21431956,11.62356637,13.12614501,11.93750908,13.76156366,14.62865917,14.72627531,9.473921774,12.03292021,15.78461443,10.67638361,12.93522753,12.08967027,12.10669166
rcl1,47.7076071,53.69087042,76.13574268,466.3372869,403.5459463,438.9854237,644.9948806,650.066772,611.706107,679.659745,806.5484033,651.7255105,241.018605,38.7766516,39.90979777,50.20294161
rcn1,43.45302238,44.77121874,42.36825307,12.48247051,12.23520623,11.99918505,12.04999361,13.08339643,11.83644106,4.98870427,8.856877629,8.482553944,32.83367125,37.25722894,38.75634542,42.77378826
rcn2,17.1885559,18.6688944,20.56630236,10.77753634,11.79127539,10.50595493,13.72889481,9.334699583,13.0715298,10.89620979,15.99016894,16.41810166,21.36976214,17.31234491,19.12493713,20.53965952
rcn3,142.4839075,155.2795245,144.9446439,52.49312259,52.08884622,29.5352389,45.28513431,46.95832916,44.74380799,29.21603573,56.75978195,34.41234135,194.5021731,187.3569067,197.8167891,239.4082165
rcor2,29.20726695,24.4805794,22.55572078,34.48608463,38.14963047,43.42510667,28.54995852,31.37257288,32.67519762,40.98383624,25.1930083,29.26979093,29.45872607,41.11757261,34.08943283,37.62238408
rcor3,13.92127909,13.28624632,13.28679492,12.47418884,12.52682691,14.01500187,16.94793176,16.38877577,14.30214485,31.42649662,13.69859494,16.50202043,9.9160007,8.81912632,9.152038562,8.855927047
rcsd1(1of2),4.364697485,3.452206721,3.044376303,2.184164298,2.92854633,2.790315209,3.029675446,2.320852059,1.985127547,5.549318868,3.869679902,5.153968094,2.204411886,4.613218921,3.613622691,2.532813151
rcsd1(2of2),2.651872695,2.302710705,3.654154045,5.090044332,4.169069377,4.554906058,4.424241127,3.369922752,4.581029057,3.938064831,4.342230666,4.014949602,1.654618316,2.4824005,1.928588412,2.269842561
rcvrn(2of3),4.715269127,4.414636144,4.239143523,1.886456202,1.571554739,1.403792614,0.923515056,2.364909024,0.817164057,0.620308046,1.722195205,0.655005213,5.420699917,6.831380413,5.263967172,7.787992664
rdh10,18.26430692,19.31097131,19.42955305,12.49276602,14.23037093,11.35087928,9.187712688,11.0453522,11.38826404,6.506255011,6.303638231,5.245352791,9.816673134,10.15880044,10.90199382,11.88262486
